,x,y,z,Vx,Vy,Vz,cloneOf
18855,-2568411267.299719,1255236323.1175165,-875977862.8252832,-319802.18924807996,-401936.13588040415,364391.5749034798,1050
18856,-2691246016.993014,1084279632.4713588,-721958749.2735962,-271400.7884636819,-423406.2103293595,379046.3171049097,1050
18857,-2793598759.478217,905070919.1161519,-562445093.7093258,-220933.86380279865,-441653.90785804857,390816.28795874736,1050
18858,-2569408149.5223565,1243725058.3940167,-889371475.4345223,-319387.5035596441,-397147.64970999106,369963.085097341,1050
18859,-2692067622.0508256,1074792339.8866684,-732997425.2698526,-270969.4253538204,-418425.1455287157,384841.8968195475,1050
18860,-2794238834.460615,897679802.6954243,-571044822.1029329,-220489.1062052416,-436518.1733379562,396791.8293330667,1050
18861,-2570420072.2777267,1232040116.6303096,-902612698.8199425,-318966.5612708508,-392286.9169076805,375471.2040211458,1050
18862,-2692901623.134452,1065161907.0879992,-743910505.9307698,-270531.5540217977,-413368.9285521435,390571.5358563367,1050
18863,-2794888566.6206665,890177172.270405,-579546704.9060194,-220037.63829522027,-431304.95305134135,402699.38247011974,1050
18864,-2571446862.178074,1220183499.9810116,-915699264.1660829,-318539.4345079942,-387354.77033501514,380914.98788707267,1050
18865,-2693747877.342099,1055389984.2004333,-754696121.3561579,-270087.24949461257,-408238.42575639253,396234.2524711248,1050
18866,-2795547844.6301107,882564313.3781936,-587949285.3647351,-219579.5374294369,-426015.14025666274,408537.9351410886,1050
18867,-2572488343.2882357,1208157240.016348,-928628929.1573411,-318106.1964570462,-382352.05508991925,386293.5039307808,1050
18868,-2694606239.672466,1045478245.5926511,-765352423.4863375,-269636.58790155844,-403034.51622670476,401829.0763865715,1050
18869,-2796216555.525055,874842530.4429698,-596251123.7401745,-219114.88210111647,-420649.64133611036,414306.48694003007,1050
18870,-2328533700.3446083,1138003137.3825576,-794165638.62414,-346015.4597251815,-435262.057629184,394582.3176232158,1050
18871,-2439896260.49057,983012999.8850363,-654531187.954813,-293603.3334410704,-458492.0977803953,410435.1854148865,1050
18872,-2532689736.844557,820541539.8989124,-509915359.7284133,-238956.70850693292,-478232.7362223998,423164.39361800917,1050
18873,-2329437478.4428587,1127566970.7983649,-806308350.6294343,-345566.4163023978,-430076.8335429004,400615.441208846,1050
18874,-2440641131.48917,974411775.9339725,-664538903.3825264,-293136.2491033847,-453098.550441298,416710.6977399562,1050
18875,-2533270031.825441,813840719.0888058,-517711913.8213167,-238475.13804818812,-472671.91378245235,429634.5342444666,1050
18876,-2330354892.3586226,1116973347.7950046,-818312905.8497351,-345110.59790445137,-424813.3770126804,406579.9214009989,1050
18877,-2441397240.782908,965680780.3936119,-674432753.4902006,-292662.11759692593,-447623.62756609987,422914.80883220054,1050
18878,-2533859082.0488763,807038799.1594265,-525419760.64297485,-237986.30186026974,-467027.1920312051,436031.05920524575,1050
18879,-2331285784.8977466,1106224083.5352418,-830177247.366305,-344648.0826334781,-419472.589904704,412474.7362166989,1050
18880,-2442164458.816349,956821509.2750934,-684211043.0175537,-292181.0201616871,-442068.26725465053,429046.455649123,1050
18881,-2534456786.5841403,800136945.584738,-533037579.4935153,-237490.28370274205,-461299.5381626712,442352.87248872424,1050
